no;year;food;inf
1;1962;17.08001257;3.57615894
2;1963;15.19791207;2.941176471
3;1964;16.86303837;13.35403727
4;1965;22.00813199;9.479452055
5;1966;34.14901954;10.81081081
6;1967;32.08561913;13.0532972
7;1968;25.04454366;2.996404315
8;1969;23.30304345;0.574712644
9;1970;20.92414117;5.095238095
10;1971;14.58376817;3.081105573
11;1972;9.59593929;6.461538462
12;1973;20.07248975;16.92815855
13;1974;19.68763028;28.60169492
14;1975;31.84554112;5.738605162
15;1976;27.48079027;-7.63438068
16;1977;16.43469;8.321619342
17;1978;13.84690967;2.517518817
18;1979;8.918821306;6.253164557
19;1980;8.98622238;11.3652609
20;1981;8.540796165;13.11510484
21;1982;10.09982255;7.887270664
22;1983;11.65884893;11.86886396
23;1984;10.17999063;8.32157969
24;1985;8.414072803;5.555555556
25;1986;7.041373242;8.730811404
26;1987;8.439771803;8.798689021
27;1988;8.049490172;9.384775808
28;1989;3.50929601;3.26256011
29;1990;3.238412109;8.971233545
30;1991;2.699533197;13.87024609
31;1992;3.815987402;11.78781925
32;1993;3.126318834;6.362038664
33;1994;6.032387597;10.21150033
34;1995;4.30779806;10.22488756
35;1996;4.711903774;8.977149075
36;1997;5.621810704;7.16425362
37;1998;8.934854777;13.2308409
38;1999;7.22927048;4.669821024
39;2000;4.662568059;4.009433962
40;2001;5.81003209;3.684807256
41;2002;5.893395638;4.392199745
42;2003;5.91148046;3.805865922
43;2004;4.731834472;3.76723848
44;2005;3.670243104;4.246353323
45;2006;3.042741665;6.145522388
46;2007;3.420520282;6.369996746
47;2008;2.492371879;8.351816444
48;2009;4.21172291;10.87739112
49;2010;3.951091965;11.99229692
50;2011;3.741041478;8.857845297
51;2012;4.048245884;9.312445605
52;2013;3.89521493;10.90764331
53;2014;4.458509339;6.353194544
54;2015;5.758037572;5.872426595
